comment,toxic
"свидетел петух","1"
"бог ... 2000-й ... сладок перв интернет ...","1"
"холодильник электричеств очен жрут стал плат меньш замен нов","0"
"стар наушник зенхайзер овацион 565-е брал 97-м год ! сих пор периодическ доста слуша удовольств шикарн техник","0"
"мог занима нравится.счита нужн дела люб школ люб физик алгебр институт те хотел - завал сесс человек. конц го курс двух групп выпуст человек друг случаи-девушк уч музык плох пошл мед скор работа очен нрав главн найт сво призван )","0"
"дак дела ракет ...","0"
"аг родн кра ( восточн украин ) середин 80-х туалетн бумаг законч слов очевидц туп вообщ зат относительн недалек ставропольск кра приезжа санатор удивлен обнаружива полн полк туалетн бумаг ! никт покупа больш кол-в советск логистик - сам логистичн логигистик мир","0"
"друг работ всяк vfx моушн дизайн дела хоч сторон режиссур идт","0"
"москв хочет войн теб наш президент ясн по-русск сказа смет стреля багдад ! вмест ебан тбилис жириновск зы вмест ебан фашингтон","1"
"город покида","0"
"спасиб информац !","0"
"япон тентакл те суп отправ","0"
"размер разн кажд подоконник разн длин колон разн высот быва строител идеальн одн размер сдела","0"
"новост прекрасн все ...","0"
"воровств точк зрен раз-так весьм эффективн ..","0"
"очен редк снят сны котор либ поднима либ спуска лестниц лестниц разн страх оступ упаст","0"
"хрюш семерк точн одн верс компилятор сто ? jit сильн универсальн вещ использ очен весьм полезн знат","0"
"двор парковк штраф космическ трет стоимост автомобил например","0"
"интересн факт статистик вопрос оперир об сторон те те прот","0"
"эт жаб очухива че хуйн !","1"
"бизнес - так штук налич выгод - е упуст средств передвижен действительн хорош - давн рассека простор подозрева океаническ маршрут волнен даст хреновин жит","0"
"спасиб комплимент тяг пут фотографирова прост врем прогулк собак захотел снят имен снимок задумк все равн полност уда скаж нрав фотограф дорог д пут уход вдал горизонт личн вечн скитан поиск","0"
"возможн скор парен присутств сво девушк посмотрел официантк","0"
"печал част пункт производител оставля соб прав изменя характеристик товар внешн вид комплектн предварительн уведомлен продавц сайд днс пункт увидел ситилинк кажд товар написа практик куп две одинаков модел устройств могут различа что-т доказа дан случа очен сложн товар техническ исправ повезл давн давн брал материнк неттоп медиаплеер нача так мат неттоп медиаплеер брал товарищ s-video выход работа биос куп ту материнк нов ревиз s-video работа переключен винд днс развел рук тк товар исправ вывод картинк биос s-video сложн обознач поломк тк сайт интел слов vga все нормальн покупк современ телевизор работа эт материнк торрент качалк возвраща получа деньг смысл альтернат рынк торрент удобн кача маленьк неттоп дела больш комп s-video - вывод видеосигна тюльпанчик элт телевизор","0"
"кхм бег ? пробежа хот километр значительн дольш нескольк подход подряд","0"
"гаусс раз меня ламп кажд брос дел фирм гаусс существ","0"
"нафиг ? ввод сто рел напруг сет уйдет ниж выш ( правильн установк помн ) - выруб сет куч электроник став стаб квартир - бешен деньг","0"
"мтс - так байд сво врем дом.р перевел бесплатн девушк хохотнул рекомендова чащ смотрет нов предложен ( реклам )","0"
"спасиб годн фильм ?","0"
"хто знает мужчин жен наоборот совет небольш каблук ботиночк лет кед кроссовк рыбалк поход бер соб рыбалк лес каблук шпильк верн способ слома ног пропорот лодк велосипед некомфортн","0"
"максимум могут придума робот человек внутр","0"
"мтс рубл месяц минут разговор внутр сет бесплатн каким-т количеств смс ( хз польз ) безлимитн интернет действ все росс променя всяк хрен подключа жук прост напиш заявлен невозможн ( инф сдела - мор ) говор люб дел )","0"
"эт случа ищут максимальн разов суточн доз разов - 100мг суточн - 250мг парн крупн повезл раз превыс суточн p.s сна ( раньш ) рекоменд мелакс имеет седативн эффект выравнива циркадн ритм однак снача сход врач прежд глота подряд ленив жоп ! ! !","0"
"конкурент сво канал продаж сво пересеч","0"
"вк звон виде звонк конференц кажет","0"
"так кружк процесс мыт развал рук мелк осколк разб пол взят развал из-з пол тепл водичк ?","0"
"поня глист ? вывел ?","1"
"упор обществен транспорт европ никак проблем доеха хочеш машин пиздова машин выжиг бензин заним огромн площад км ден кажд езд удобн обществен транспорт велосипед электросамокат км чист тих спокойн город","0"
"сам дел описыва все хронологическ порядк )","0"
"ещ регулярн провод концерт миров звезд","0"
"удивля поч люд хот позва модератор независим причин спор - прав виноват ... неадекватн ! удач","1"
"прост ху посыла так наглец","1"
"должн переосмысл хайэнд контент перенест нача ?","0"
"исключен быва случа работодател ищет сотрудник котор будут работа получа ещ работ существ )","0"
"сомнева ) по-мо прост британц - те свин","1"
"смеша куч кон люд ... люд иска базов навык числ честност перв очеред опыт так работ","0"
"жалк все врем этак тен льва давидович неприкая дурачок настырн упрям","1"
"наверн знает перв ms office могл сохраня pdf приход отдельн устанавлива соответств надстройк возможн ваш админ пользует современ сборк дан функц реализова работник гос учрежден обяза устанавлива ms office котор закуп ( древн ) win sp1 отдельн доустанавлива ( блин щас волн знаток лиценз пойдет )","0"
"виж рож кисел сраз ставл минус !","1"
"блят вообщ несеш болезн ? правительств ? ебуч мраз котор вид мед.персона что-т дела роддом правильн чуд уб мат ребенк чуд ! суд прич ук ненавиж так уш говн из рта говн лезет виноват правительств","1"
"наркома воздух дышат однак знач воздух наполнител чаш что-либ имеющ показател спиртов ин токсичн","0"
"впадл готов кашк кастрюл свар недел хват )","1"
"дожив пенс крест буд ход стеба продавц хот сомнва том времен останут розничн магазин техник","0"
"насчет клевет ? обвиня винов дтп человек винов","0"
"доч отцовск пород никак тест днк нужн поня одн сам част фраз муж говор хочет сдела )","0"
"недел работ профессионал трудн поня ещ сдела косметик вообщ конфетк","0"
"надеют обратн платн звонок ? правд зна возможн так","0"
"факт лет айфон будут тренд","0"
"выш указа - виновн вряд что-т компенсирова осаг хвата","0"
"сраз обьясн понятн спасиб","0"
"поч многоват ? разнообраз ещ ник вред современ дисн продвинут западн ценност удешевлен анимац спорн решен переход некотор вещ дешев трехмерн анимац стара смотрет nikelodeon кошмарн ребут черепашек ниндз торт неплох вещ врод gravity falls нов утин истор проигрыва стар всем стат ( кос мест вышеупомянут gravity falls ) плох сравнен всем остальн торрент наш все нов год накача стар рождественск диснеевск мульт смотрел все сем удовольств насчет mlp зна супруг мнен расход прот прот кстат показа вчер пар сер мульт койот вайл дорожн бегун давн хохота looney tunes нужн осторожн мульт расчита старш аудитор шуток гран койот бегун сам нейтральн этак джерр погод","0"
"возможн дел коррупц ? инд реш взятк","0"
"гляньт вокруг дна пустот использ полк ( производител ) использ набор вод","0"
"аргумент инд пакиста нагличан сво уход раздел постоя напряжен лов рыбк мутн вод .два мусульманск штат засунут инд - тип случайн ? подруж крепч ?","0"
"всяк автор пост правд обычн дольш месяц заказа помад одн хорош магазин дешев сильн дорог доставк платн копеешн итог помад пришл мо вернул деньг числ доставк получ ! спуст год месяц ! срок годност помад конц подойт успел ! так истор","0"
"удивл узна выпуска наш врем ( врод сил как энтузиаст ) куп готов машинк либ кит самостоятельн сборк","0"
"во-перв допуск сро отмен во-втор связ сро производств лекарствен препарат ? и довод правильн установк - лиш довод ещ - лиценз прост придума","0"
"плат понима мо основн вопрос поч банк вперв лет реш сообщ задолжен поч раз сообщ перевыпуск карт приглас отделен е получен лет назад явн хвата знан верн закрыва пластик ваш правд )","0"
"аг формулировк решен прост шикарн ссылк жалоб решен снос стар лин электропередач такж увеличен размер членск взнос принят общ собран снт хлеб котор истц оспор судебн коллег отклоня поскольк свидетельств правомерн действ ответчик отключен земельн участк истц энергоснабжен снесл - ок оспарива отключ - неправ ! син экра выпа снест отключ нескольк повторя снт - электроснабжа организац поэт полномоч отключа","0"
"лет друз зовут пар дне минск прокат блин все ещ дума","0"
"фантаз развива книжк чита посмотр советск фильм то позиц жесточайш цензур однак умудря шутк придумыва смешн оригинальн протаскива сквоз автор заслужива уважен имен остроум ограничен снял зверск замучен человек пошут .. хочет сказа слаб пошут присутств матер замучен ребенк обстоятельств смерт ? останавлива ? страх теб горл вырвет прям эфир ? ? печал нич отлича собак стимул-реакция.получ пизд эволюционирова пушкин ?","0"
"химическ термостойк материал поч физическ ?","0"
"действительн век гаджет все бтарейк нафиг муж","0"
"наскольк зна большинств врач вручн просматрива мрт снимк какой-либ автоматизац зна прот каких-либ новшеств поэт возник вопрос","0"
"уг замет кстат те реальн честн получа почему-т част счита ес получа 100. стран заблужден учитыв зарплат 4-5 отлича","0"
"спасиб интересн работа медбрат терап израил деся лет терминолог пост rn практическ сам отлич мелоч например экг врач чита решен привязыван - наоборот медсестр","0"
"смертн казн стран запрещ прописа ук поч е применя ? знает ?","0"
"слав теб господ одн так минск ком попада таксист неадекват случа первый-водител предлож перейт друг сторон проспект удобн разворачива вообщ бензин прожига случа втор - водител приеха друг сказа работа вдво поездк отказа точк зрен безопастн трет мнен водител слишк долг шла пошл платн ожидан устро требова отмен заказ предлож отмен самостоятельн прост заблокирова двер проеха метр сидел машин смотрел отмен вызва друг такс написа жалоб убер европейск х одн жалоб одн отменен поездк проклят яндекс - одн мест ?","1"
"получа здоров ! ! ! интересн процесс ! ) нетерпен жду завершен ! )","0"
"сравнива камен доминион посоветова ?","0"
"хм куп ? выгляд крут цен ?","0"
"профессиональн фот тех год дела 35мм средн больш формат 35мм фотоаппарат придума журналист котор важн качеств факт","0"
"кое-чт вспомн трансформер нача слишк очеловечива например какой-т част десептикон плен сдают ( ? ) перв част рук превраща оруж дальш пушк рук берут одн последн част автобот кур сигарет втор самура прич говор всяк самурайск штучк появ самолет космическ корабл трансформер хот фишк трансформир транспорт","0"
"принцесс мононок прост шедевр ! перв очередь-серьезн произведен переосмыслен мир мультфильм дет","0"
"че коллег дом свал сид ?","1"
"смысл гост нужн вест сам плох мест ознакомлен город ?","0"
"отлета бетон стен останет цел бетонконтакт понадежн","0"
"планов экономик обреч трансформац рыночн забвен определен момент развит благоденств достигнут средств производств товар услуг неизбежн переорентир снижен себестоим качеств очеред определен период времен ( смен поколен ) преведет нравственно-моральн деформац контролир те трансформац красн деректор буржуаз котор непремен будут нужн рыночн отношен сут сво капитализм коммунизм - современ аналог построен античн войск бо бо ведет меч деньг деньг сво сут - способ удоволетвор неограничен желан человек услов жестк ограничен цен ресурс те способ трансформац человеческ ген труд ресурс ран поздн техническ прогресс преведет том ресурс станут огранич смогут удовлетвор неограничен желан тех эт ресурс облада стал отпадет необходим конвертирова труд ценност означа однажд хозя наш глобальн техноген цивилизац тех неистов рьян гон свет этап счаст плет отбадет необходим повтор стар войн бог олимп аптек улиц фонар","0"
"молотк все главн - процесс удовольств растянут","0"
"доказательств теор относительн школьн учебник найт интересн ! ! ! категорич тем углуб 100-лет сто совпа 90-лет от обнаруж та друг теор экспериментальн подтвержд ! случа юбиле запущ проект gravity probe b ( gp-b ) стоимост миллион доллар котор долж дат хот одн подтвержден эт нелеп теор однак все законч больш конфуз дан получен проведен эксперимент помощ gravity probe b ( gp-b ) сут подгоня нужн значен даб получ нужн ответ мнен перв академик ран журавлев быт мнен настоя времен существова подтвержда теор от прим.изд факт красн смещен прецесс перигел меркур сам дел красн смещен объясн рамк специальн теор относительн объяснен смещен перигел меркур достаточн учест дипольн момент гравитацион пол солнц отказа предположен солнц однородн шар так образ завершен прошл год эксперимент явля пок единствен достоверн подтвержден от доклад некотор детал уникальн эксперимент gravity probe b сдела замечан повод высказыван академик журавлев перв замечан внимательн читател замет поч академик упомянут широк известн подтвержден от искривлен луч свет пол тяготен солнц например видим смещен звезд врем солнечн затмен ? упомянул подтвержден широк известн факт узк научн круг упомина неприличн широк разрекламирова подтвержден результат явн подтасовок некорректн манипуляц результат научн эксперимент втор замечан журавл призна результат проведен эксперимент от наконец-т получ перв ( лет существован ! ) экспериментальн подтвержден задад вопрос провод журавл проверк тех расчет котор вел станфорд течен пят лет конц довед сил нас лопнул терпен он прекрат дальн финансирован явн подгонк результат ответ ? журавлев кто-нибуд даст подобн средств котор дал исследовательск групп станфорд котор эт ребят хват дальн совершенствован анализ дан ? мнен втор академик ан ссср логунов сегодняшн отношен теор от прим изд больш степен основа вер наук вер ( наук жизн n )","0"
"стат перв страниц говор ограничен экспорт редкоземельн металл кита говор экспорт чист вид уступа экспорт соединен нигд точн фраз экспорт редкоземельн металл разреш вид готов устройств издел скор наоборот стат наталкива кита торг редкоземельн металл соединен экспорт спрос пользова дешев норм охра труд соблюда исчерпаем определен момент никт дума","0"
"налог налог","0"
"подскаж кадр как фильм 1.00-1.20 ?","0"
"аг работа будут робот человек","0"
"рук ушл блуд ног спин поп сладк спит сата гляд тихоньк аут сид","1"
"справедлив рад киберспортивн соревновательн игр сюжетн лор прост жирн плюс игр обязаловк игр так жанр кс.го лор скольк зна никт жал","0"
"цельнолит метл додума","0"
"зажигалк коптиш ложк собираеш","1"
"концентрац гомофоб шовинист стран дела так развит ситуац маловероятн","1"
"бассейн прошл мор плох ) пришл надстройк дерев дела инач перевернут норов ) операц коттедж утюг одн ряд )","0"
"сосед куп ок вмест велосипед гараж сво машин ремонтир .3 литр бенз зал месяц дом гараж ката","0"
"куп чайник отвал крышк месяц гарантийн случа ...","0"
"трат 2-4 час дорог бенз поиск парковк - жит","0"
"скелет кот дерев что-т раз видел слезет информац -","0"
"интересн модератор равн реклам занима ? ненавиж блин реклам","0"
"мо практик работодател втор отказыва оплачива перевозк трудов курьерск служб согласн бесплатн почт росс либ курьерск служб счет","0"
"ануб кафефол год сидел дав лист пересад противоположн угол заглуб шейк нижн лист грунт попер ! чем стал раст параллельн грунт держ стебел пят сантиметр держ конструкц корн итог выкорчева кху ям тк нереальн чист грунт анц правд очен расстро","0"
"пайк все сложн очен больш поверхн отвод тепл ( опыт фен бер готов выборочн светодиод ) ? подуса .. куп подсветк 2000-4000р сможеш установ лопнет матриц вскрыт","0"
"рф феодальн обществ )","0"
"видел оста американск компан кита повер росс так далек","0"
"продолжен ? понрав хотел","0"
"пута термин говор равносильн прост некотор контекст придира выбор слов описан процесс глуп например одея ноч согрева производ тепл","0"
"мечта мейн кухн ) б подарок","0"
"разбира аппарат смотр модел матриц ищ так аналог вариант поиска авит всяк мертв материнк","0"
"кита что-т подобн планир ввод","0"
"? где-т сказа когда-т будуч следовател прокуратур нашел способ прекраща дел примирен тяжк особ тяжк преступлен включ изнасилован ?","0"
"так бесполезн дела невозможн наступлен вермахт участк случ друг дел направлен главн удар белгию-нидерланд прот котор франц перекинул сво мобильн сил выбра верн немц сумел переигра отреза основн сил блестя план блестя реализац вермахт","0"
"вопрос тем имеющ отношен удаленк все охотн выпуска затрат аренд офис все остальн","0"
"нажра сд тип","1"
"социализм принцип дищнеспосо изобрет нов слов днищеспособ","0"
"так тем кред 50к помеч просроч хот исправн выплачива","0"
"блин четверт фот неплох смотр элегантн","0"
"нем звонк хорош звук ? видеозвонк переда кром бесформен пятн ? телефон пользова работа push уведомлен батарейк держа нескольк час ? 2х устройств одновремен сидет ? пробова пользова год назад созда впечатлен очен очен сыр вещ","0"
"как государств скидк квартир орган ? отслуж пенс вышел лет назад милиц так слыха жизн квартир переплачива ?","0"
"мо детств ( 90е ) хлеб разделыва кусочк присоединя молок ягод сахарк прав клубника-виктор достаточн сладк","0"
"приход ) забира ) жалк !","1"
"похож всем разобра обсуд вынесл приговор продуктивн тройк завидова","0"
"страхов друг трудност некотор прост исключ он-лайн каталог стар машин оформ осаг приход перет так офис","0"
"спасиб чувств виноват ( сарказм )","0"
"раньш нпф кит финанс нормальн","0"
"механик хотел пойт хуж зрен помн точн хуж )","0"
"смешн наркоман наверн ... поня","1"
"нухт лабораторн подобн закуск дела )","0"
"жизн кстат спартак лед норм видим брос залива ровня конбкобежц стал последн врем машин уч езд пустыр стадин рамк реновац застраива","0"
"благовещенск одн сиз пок переулок серышевск тел ( ) 595-450. сет","0"
"москв s- класс езд передн сидениях.обо ...","0"
"гнил скотин корм ? скор намокл упакова сух сен","1"
"действительн ! город ярк аж глаз ряб ! потускл как-нибуд покрас цвет депресс смерт например","0"
"привет реш сдела так стен туалет мешк шпаклевк 25кг подробн расписа дела рисунок дела тектур кирпичик т. д","0"
"периодическ такс небольш сибирск городк последн полгод случ приложен клиент отобража неправильн цвет машин ( черн вмест серебрист ) пар - стар машин котор забит яндекс прода давн так глюк никт отменя сут пост - так скор мошенническ схем подключен заблокирова водител","0"
"шло дит безмозгл сво игрушк поигра меч маг так остальн дораст нужн обща тоб врем теря слыша хочеш всх знаеш здоров скатерт дорог пятк тапк русск","1"
"одн ментовск патрул юг встрет нача штраф писа тихо-тих ... общ штраф обошл","1"
"оста вернут разработчик","0"
"хех ... друг провер информац ипотек","0"
"кот дальш ? дума люд кот видел ? ?","0"
"чот бая косяк поперл дожд наверн","1"
"ркк энерг систем сказа логин парол лучш старожил пуст расскажут слишк юн заста )","0"
"красив познавательн виде дочк знак близнец род","0"
"уменьшен скорост остановк","0"
"написа - дел сложн финансов составля лиш одн сложност кирпичн завод ... неб стар завод ( чита ) законч разрешительн документ ? кирпич видим нуж город производ сих пор","0"
"подкрашива сам футболк пар лет слегк потерт рисунок яркост теря","0"
"покида перекресток ( точн - нужн ) люб сигна светофор","0"
"лет подруг част ход бан хож бассейн тренажерн зал сем выбира аквапарк профосмотр конвейерн тип ( безостановочн принима народ ) приход раздева одева друг женщин ( принцип понятн возможн друг посмотрет показа xd ) - рассматрива гол женщин бан рассказ мо муж груд ! видел ! ) видел потрога ( седьм размер хотел ) все остальн врем - ув разочар нафиг вперл рассматрива гол теток возможн комплекс повод сво тел нужн рассматрива друг сравнен самоутвержден","0"
"суж собствен опыт якут полн так компан строго.тож врод охраня ког круг тайг","0"
"пункт назначен поч непотребн запрещен ? фильм тв показыва рейтинг","0"
"перел ног обычн наблюден заключа продлен лист нетрудоспособн бол стал проход недел","0"
"прост расчет дальш стро карьер кольц вершин ф1 приземленну професс хочет смотр скольк пилотесс ф1 условн бухгалтер","0"
"предлож идеальн концепц погрешн бардак респект американц решен вопрос одн ход - развит частн авиац дорог вкидыва аляск случа войн могут сраз призва толп обучен пилот котор готов сам сво деньг дума вол программ авиацизац населен реш лет дат государствен диспетчерск служб созда подготовительн программ пилот дат хорош модел техник вон тип ан2 як52 вертолет тип ми осовремен керосин доступн полетел увер мощн толчок развит стран территориальн социальн авиапр подня","0"
"поч ? рыж ) ... поч мог защища нападок педофил ? педоф ? мальчик котор люб больш колбаск задн проход ? ? дружок ) как ху говор дела снача разговариватт науч школот","1"
"как вдувател ? мат хар ? не карьер ! одн гомосек бабо-мужик декаданс запустен одичан вообщ фейл","1"
"русскоязычн харьк выреза бандеровц бандеровц прост хот харьк переста русскоязычн русскоязычн бабушк смотрет телевизор родн язык русскоязычн посмотр кинотеатр фильм родн язык мо русскоязычн дет смогут уч родн язык следующ власт отмен политик декоммунизац украинизац","1"
"зат венесуэл - запас нефт мир подозрен ?","0"
"слов эвм одн слов заимствова )","0"
"кстат пешеходн прогулок минск хорош тепл точн декабр )","0"
"hp нача косяч позж где-т 2014г последн сер elitebook probook идеальн поход скат остальн мыльниц","0"
"далек болезн одинаков чист детск чист взросл болезн одинаков протека лечат дет взросл зачаст по-разн","0"
"зелен банк нуж из-з таксист например наличк заб спрашива мобильн банк ( подразумева зелен ) случа","0"
"косметик косметическ операц ?","0"
"сжат счет разорва - прям смысл слов врод должн хот больш взрыв могут существова некотор дефект пространства-времен например космическ струн пок обнаруж факт вообщ существ счет сжат обратн - пробл главн средн плотност вселен меньш ( измерен плюс минус погрешн меньш точн мер ) границ нек пространств област дальш котор вид ( сфер хаббл ) вообщ матер пространств - он един все матер","0"
"помн игр дос ? помн устанавлива мамин подруг комп дет врем где-т став так сд игр т.п вообщ русск верс помн 1с фаргус нов верс подзаб нов всеравн )","0"
"работа тонометр фитнес-час ? добр пожалова век !","0"
"ух пахнет эпик подписа гот помоч дизайн лиш испытыва испанск стыд ублюдств котор сдела знаком дизайнер рубл","0"
"спокойн положительн баб нуж адреналин поэт выбира орангутанг сильн безбашен смогут защит потомств уровн инстинкт е начина пизд поч зря начина понима бьет знач люб .. борьб разум инстинкт побежда ...","1"
"тс дума администрац взял разработк учитыв неоднократн пожелан перв дума последн ...","0"
"бедн нещастн муслим настоя борц прот кровав коммуняк кажд свободн человек долж поддержа борьб","1"
"скольк деревн домик сто ?","0"
"точн уход мегафон подохерел раз полгод односторон порядк повыс абонентк мо тариф понятн дел понрав перешел друг оператор недел звон девочка-колокольчик спрашива переход замечательн оператор блин месяц подожда удивлен спрашива горяч лин звон вежлив спрашива хер втор подряд повышен цен ник мо мнен волнова","0"
"? основн ваш сослуживц дива войск ид","1"
"москв сход вечер те звезд вариант","0"
"перед заеха ограничен пространств ? перед как-т сложн","0"
"дво суток нормальн симк wi-fi прост вкл час нол","0"
"занима контрол сварн соединен )","0"
"... зна пример ... дет обязательн выход оттуд знан несмотр реальн сильн педагог ... так школ учат мажор зачаст ху класт образован","0"
"час игр котор говор платн dlc что-т дела ? игр интересн игра топ левел понима гринд топов шмот всяк ежедневк типичн подобн игр зна пок дошел момент контент игр заметн то дивиз игр сам занятн","0"
"книг вообщ сто безумн ладн нов - оплат труд автор переводчик некотор стар выход 1000. покупа лабиринт сво скидк акц ( минус 25-34 выход ) жест последн заказ посмотрел сво ( конц декабр дела ) книг подорожа процент (","0"
"понима сам мо газ подключ ? проблем газораспределительн сет ?","0"
"дяд галочк жит оста ? правд счита дочер нуж пуст мешок кост отец ? невролог сход объясн сво психоэмоциональн состоян религ позволя ?","1"
"стран условн продавц евросет стал жит например","0"
"так видел как дибилом-камикадз туд залезт полн рост работа беларус хуйн увид","1"
"скор сработа из-з парол русск написа например парол долж сраз автоматическ скрыт","0"
"прост рад интерес правд так ваканс быва ?","0"
"аг инф накоп врем оффлайн dos атак цп перегруж","0"
"спасиб ! посоветова коммунальщик ?","0"
"хрен прост бюджетн смартфон урезан проц график диспле относительн сво флагман antutu 42к прот 145к galaxy note7 аналогичн наворочен игров ноутбук проигра автономн масс обычн офисн","0"
"двойствен стандарт ограничен ум недалек человеческ индивид","1"
"- теб грамот дяд - очк грамот засуньт плашм прич сворачив - ах всем расскаж нарушител подозрева бух рул езд - ху вертел ваш подозрен врач сказа чист","1"
"дума квадрик блят откуд так вылеза ? дума квадрик","1"
"крафтов пив банк лак фу стекл","0"
"удивл сплин ностальг дел ддт вгоня тосклив меланхол","0"
"анализ покажут равн посад о положат основан снимк","0"
"заеба ахуен истор бан","1"
"бес псевдорустикал","1"
"прощ справк здоров курс недел заявлен подожда дне руж неплох куп 4-5 тысяч","0"
"час езд вел остановк представля организм","0"
"ну-к расскаж зевсов вер пифагор задуш ? наш дни спор бритв оккам позвол отсеч религ социальн этик необязательн существован этик понят дава вспомн имен религ служ связ народ врем феодальн раздроблен сам религ - основ этик уил оккамск секундочк - дит религ","1"
"росс кризис челябинск дом м сва красот живет","0"
"обычн трамва шин метробус взгляд удобн","0"
"работа год максимум смог позвол - сборк 1050ти кред","0"
"перв очеред супруг дет матер дет супруг умерш явля мим","0"
"кажет целев аудитор ( женщин ) вообщ смутн представля так тепловизор говор выдач картинк","0"
"блджад чита дальш заголовк поколен долбоеб","1"
